Kartica,Kategorija,Naziv HR,Opis HR,Količina,Cijena,Sidrena cijena,Alergeni,Prikaži,Za van,Vino uz jelo,Naziv EN,Opis EN,Naziv DE,Opis DE,Naziv IT,Opis IT,Naziv FR,Opis FR,Naziv ES,Opis ES,Naziv PT,Opis PT,Naziv NL,Opis NL,Naziv PL,Opis PL,Naziv RU,Opis RU,Naziv HU,Opis HU,Naziv CS,Opis CS,Naziv SK,Opis SK,Naziv SL,Opis SL,Naziv UA,Opis UA,Naziv RO,Opis RO,Slika
Jelovnik,PIZZA,quattro formaggi,"rajčica, mozzarela, gorgonzola, gauda,grana padano, maslina",,"14,00","14,00","1,7,3,",DA,DA,,quattro formaggi,"tomato, mozzarella, gorgonzola, gouda, grana padano, olive",quattro formaggi,"Tomate, Mozzarella, Gorgonzola, Gouda, Grana Padano, Olive",quattro nazioni,"pomodoro, mozzarella, gorgonzola, gouda, grana padano, olive",quattro formaggi,quattro formaggi,quattro formaggi,"tomate, mozzarella, gorgonzola, gouda, grana padano, aceituna",quatro queijos,"tomate, mussarela, gorgonzola, gouda, grana padano, azeitona",quattro formaggi,"tomaat, mozzarella, gorgonzola, gouda, grana padano, olijf",quattro formaggi,"pomidor, mozzarella, gorgonzola, gouda, grana padano, oliwa",quattro formaggi,"помидоры, моцарелла, горгонзола, гауда, грана падано, оливки",quattro formaggi,"paradicsom, mozzarella, gorgonzola, gouda, grana padano, olíva",čtyřnásobné formy,"rajčata, mozzarella, gorgonzola, gouda, grana padano, olivy",štvorkolky,"paradajka, mozzarella, gorgonzola, gouda, grana padano, oliva",štiridelni kvadri,"paradižnik, mocarela, gorgonzola, gauda, ​​grana padano, olive",чотири форми,"помідор, моцарела, горгонзола, гауда, грана падано, оливки",patru forme,"roșii, mozzarella, gorgonzola, gouda, grana padano, măsline",
Jelovnik,PIZZA,calabrese,"rajčica, sir, tuna, luk, maslina",,"14,00","14,00","1,4,7,",DA,DA,,calabrese,"tomato, cheese, tuna, onion, olives",Kalabresen,"Tomaten, Käse, Thunfisch, Zwiebeln, Oliven",calabrese,"pomodoro, formaggio, tonno, cipolla, olive",calabrais,calabrais,calabrese,"tomate, queso, atún, cebolla, aceitunas",calabresa,"tomate, queijo, atum, cebola, azeitonas",calabrese,"tomaat, kaas, tonijn, ui, olijven",kalabryjski,"pomidor, ser, tuńczyk, cebula, oliwki",калабрийский,"помидор, сыр, тунец, лук, оливки",calabrese,"paradicsom, sajt, tonhal, hagyma, olajbogyó",kalábrijský,"rajče, sýr, tuňák, cibule, olivy",kalábrský,"paradajka, syr, tuniak, cibuľa, olivy",kalabreški,"paradižnik, sir, tuna, čebula, olive",калабрезький,"помідори, сир, тунець, цибуля, оливки",calabrese,"roșii, brânză, ton, ceapă, măsline",
Jelovnik,PIZZA,verdure,"rajčica, sir, patliđan,tikvice,paprika,šparoge,luk,gljive,cherry rajčica,kukuruz, maslina",,"14,50","14,50","1,7,",DA,DA,,verdure,"tomato, cheese, eggplant, zucchini, peppers, asparagus, onion, mushrooms, cherry tomatoes, corn, olives",Grün,"Tomaten, Käse, Auberginen, Zucchini, Paprika, Spargel, Zwiebeln, Champignons, Kirschtomaten, Mais, Oliven",vegetazione,"pomodoro, formaggio, melanzane, zucchine, peperoni, asparagi, cipolla, funghi, pomodorini, mais, olive",verdure,verdure,verdura,"tomate, queso, berenjena, calabacín, pimientos, espárragos, cebolla, champiñones, tomates cherry, maíz, aceitunas",verdura,"tomate, queijo, berinjela, abobrinha, pimentões, aspargos, cebola, cogumelos, tomates-cereja, milho, azeitonas",groen,"tomaat, kaas, aubergine, courgette, paprika, asperges, ui, champignons, cherrytomaten, maïs, olijven",zieleń,"pomidor, ser, bakłażan, cukinia, papryka, szparagi, cebula, pieczarki, pomidorki koktajlowe, kukurydza, oliwki",зелени,"помидор, сыр, баклажан, цуккини, перец, спаржа, лук, грибы, помидоры черри, кукуруза, оливки",zöld szín,"paradicsom, sajt, padlizsán, cukkini, paprika, spárga, hagyma, gomba, koktélparadicsom, kukorica, olajbogyó",zeleň,"rajče, sýr, lilek, cuketa, papriky, chřest, cibule, žampiony, cherry rajčátka, kukuřice, olivy",zeleň,"paradajka, syr, baklažán, cuketa, paprika, špargľa, cibuľa, šampiňóny, cherry paradajky, kukurica, olivy",zelenje,"paradižnik, sir, jajčevec, bučke, paprika, beluši, čebula, gobe, češnjev paradižnik, koruza, olive",зелень,"помідор, сир, баклажани, кабачки, перець, спаржа, цибуля, гриби, помідори чері, кукурудза, оливки",verdeaţă,"roșii, brânză, vinete, dovlecei, ardei, sparanghel, ceapă, ciuperci, roșii cherry, porumb, măsline",
Jelovnik,PIZZA,calzone,"rajčica, sir, šunka, gljive",,"13,00","13,00","1,7",DA,DA,,calzone,"tomato, cheese, ham, mushrooms",Calzone,"Tomaten, Käse, Schinken, Champignons",calzone,"pomodoro, formaggio, prosciutto, funghi",calzone,calzone,calzone,"tomate, queso, jamón, champiñones",calzone,"tomate, queijo, presunto, cogumelos",calzone,"tomaat, kaas, ham, champignons",calzone,"pomidor, ser, szynka, pieczarki",кальцоне,"помидор, сыр, ветчина, грибы",calzone,"paradicsom, sajt, sonka, gomba",calzone,"rajče, sýr, šunka, žampiony",calzone,"paradajka, syr, šunka, šampiňóny",kalcone,"paradižnik, sir, šunka, gobe",кальцоне,"помідори, сир, шинка, гриби",calzone,"roșii, brânză, șuncă, ciuperci",
Jelovnik,PIZZA,salami,"rajčica, sir, kulen, maslina",,"13,00","13,00","1,7",DA,DA,,salami,"tomato, cheese, kulen, olive",Salami,"Tomaten, Käse, Kulen, Oliven",salame,"pomodoro, formaggio, kulen, oliva",salami,salami,salami,"tomate, queso, kulen, aceituna",salame,"tomate, queijo, kulen, azeitona",salami,"tomaat, kaas, kulen, olijf",salami,"pomidor, ser, kulen, oliwki",салями,"помидор, сыр, кулен, оливка",szalámi,"paradicsom, sajt, kulen, olajbogyó",salám,"rajče, sýr, kulen, oliva",saláma,"paradajka, syr, kulen, oliva",salama,"paradižnik, sir, kulen, oliva",салямі,"помідор, сир, кулен, оливки",salam,"roșii, brânză, kulen, măsline",
Jelovnik,PIZZA,slavonska,"rajčica, sir, šunka, kulen, panceta, vrhnje, ljuti feferoni, maslina",,"14,00","14,00","1,7",DA,DA,,slavonian,"tomato, cheese, ham, kulen, pancetta, cream, hot pepperoni, olive",slawonisch,"Tomaten, Käse, Schinken, Kulen, Pancetta, Sahne, scharfe Peperoni, Oliven",slavo,"pomodoro, formaggio, prosciutto, kulen, pancetta, panna, peperoni piccanti, olive",slave,slave,eslavo,"tomate, queso, jamón, kulen, panceta, nata, pepperoni picante, aceituna",eslavo,"tomate, queijo, presunto, kulen, pancetta, creme, calabresa picante, azeitona",Slavisch,"tomaat, kaas, ham, koelen, pancetta, room, hete pepperoni, olijven",słowiański,"pomidor, ser, szynka, kulen, pancetta, śmietana, ostra pepperoni, oliwa",славонский,"помидоры, сыр, ветчина, кулен, панчетта, сливки, острая пепперони, оливки",szláv,"paradicsom, sajt, sonka, kulen, pancetta, tejszín, csípős pepperoni, olíva",slavonský,"rajče, sýr, šunka, kulen, pancetta, smetana, feferonky, oliv",slavónsky,"paradajka, syr, šunka, kulen, pancetta, smotana, feferónky, oliv",slavonski,"paradižnik, sir, šunka, kulen, panceta, smetana, feferoni, olive",слов'янський,"помідор, сир, шинка, кулен, панчетта, вершки, гострі пепероні, оливки",slavă,"roșii, brânză, șuncă, kulen, pancetta, smântână, ardei iute, măsline",
Jelovnik,PIZZA,tartufi,"sir, pršut, tartufata, maslina",,"16,00","16,00","1,7,",DA,DA,,tartufi,"cheese, prosciutto, truffle sauce, olives",Tartufi,"Käse, Prosciutto, Trüffelsauce, Oliven",tartufi,"formaggio, prosciutto, salsa al tartufo, olive",tartufi,tartufi,tartufi,"queso, jamón serrano, salsa de trufa, aceitunas",tartufi,"queijo, presunto, molho de trufa, azeitonas",tartufi,"kaas, prosciutto, truffelsaus, olijven",tartufi,"ser, prosciutto, sos truflowy, oliwki",тартуфи,"сыр, прошутто, трюфельный соус, оливки",tartufi,"sajt, prosciutto, szarvasgombás szósz, olajbogyó",tartufi,"sýr, prosciutto, lanýžová omáčka, olivy",tartufi,"syr, prosciutto, hľuzovková omáčka, olivy",tartufi,"sir, pršut, omaka s tartufi, olive",тартуфі,"сир, прошуто, трюфельний соус, оливки",tartufi,"brânză, prosciutto, sos de trufe, măsline",
Jelovnik,PIZZA,deveron,"rajčica, sir, kulen,panceta,karamelizirani luk, krema od parmezana,cherry rajčica, maslina",,"16,00","16,00","1,7,3,12",DA,DA,,deveron,"tomato, cheese, kulen, pancetta, caramelized onions, parmesan cream, cherry tomatoes, olives",Deveron,"Tomaten, Käse, Kulen, Pancetta, karamellisierte Zwiebeln, Parmesancreme, Kirschtomaten, Oliven",deveron,"pomodoro, formaggio, kulen, pancetta, cipolle caramellate, crema di parmigiano, pomodorini, olive",deveron,deveron,Deveron,"tomate, queso, kulen, panceta, cebollas caramelizadas, crema de parmesano, tomates cherry, aceitunas",deveron,"tomate, queijo, kulen, pancetta, cebolas caramelizadas, creme de parmesão, tomates-cereja, azeitonas",deveron,"tomaat, kaas, kulen, pancetta, gekarameliseerde uien, Parmezaanse room, cherrytomaten, olijven",Deveron,"pomidor, ser, kulen, pancetta, karmelizowana cebula, krem ​​parmezanowy, pomidorki koktajlowe, oliwki",деверон,"помидор, сыр, кулен, панчетта, карамелизованный лук, пармезановый крем, помидоры черри, оливки",Deveron,"paradicsom, sajt, kulen, pancetta, karamellizált hagyma, parmezánkrém, koktélparadicsom, olajbogyó",Deveron,"rajče, sýr, kulen, pancetta, karamelizovaná cibule, parmazán, cherry rajčátka, olivy",deverón,"paradajka, syr, kulen, pancetta, karamelizovaná cibuľa, parmezánový krém, cherry paradajky, olivy",Deveron,"paradižnik, sir, kulen, panceta, karamelizirana čebula, parmezanova krema, češnjevi paradižniki, olive",Деверон,"помідор, сир, кулен, панчета, карамелізована цибуля, пармезановий крем, помідори чері, оливки",deveron,"roșii, brânză, kulen, pancetta, ceapă caramelizată, cremă de parmezan, roșii cherry, măsline",
Jelovnik,PIZZA,frutti di mare,"rajčica, sir, plodovi mora, češnjak, maslina",,"16,00","16,00","1,7,2,14",DA,DA,,fruit of the sea,"tomato, cheese, seafood, garlic, olives",Früchte des Meeres,"Tomaten, Käse, Meeresfrüchte, Knoblauch, Oliven",frutto del mare,"pomodoro, formaggio, frutti di mare, aglio, olive",fruit de la mer,fruit de la mer,fruto del mar,"tomate, queso, mariscos, ajo, aceitunas",fruto do mar,"tomate, queijo, frutos do mar, alho, azeitonas",vruchten van de zee,"tomaat, kaas, zeevruchten, knoflook, olijven",owoce morza,"pomidor, ser, owoce morza, czosnek, oliwki",плоды моря,"помидоры, сыр, морепродукты, чеснок, оливки",a tenger gyümölcse,"paradicsom, sajt, tenger gyümölcsei, fokhagyma, olajbogyó",plody moře,"rajče, sýr, mořské plody, česnek, olivy",ovocie mora,"paradajka, syr, morské plody, cesnak, olivy",morski sadeži,"paradižnik, sir, morski sadeži, česen, olive",плід моря,"помідори, сир, морепродукти, часник, оливки",fructul mării,"roșii, brânză, fructe de mare, usturoi, măsline",
Jelovnik,PIZZA,picante,"rajčica, sir, ljuti kulen, ljuti feferoni, maslina",,"13,00","13,00","1,7",DA,DA,,picante,"tomato, cheese, spicy kulen, spicy pepperoni, olive",scharf,"Tomaten, Käse, scharfe Kulen, scharfe Peperoni, Oliven",piccante,"pomodoro, formaggio, kulen piccante, peperoni piccanti, olive",picante,picante,picante,"tomate, queso, kulen picante, pepperoni picante, aceituna",picante,"tomate, queijo, kulen picante, pepperoni picante, azeitona",picante,"tomaat, kaas, pittige kulen, pittige pepperoni, olijf",pikantny,"pomidor, ser, pikantny kulen, pikantne pepperoni, oliwki",пиканте,"помидор, сыр, острый кулен, острая пепперони, оливки",pikáns,"paradicsom, sajt, csípős kulen, csípős pepperoni, olajbogyó",pikantní,"rajče, sýr, pikantní kulen, pikantní pepperoni, oliva",pikantné,"paradajka, syr, pikantný kulen, pikantné pepperoni, oliva",pikantno,"paradižnik, sir, pikanten kulen, pikantni feferoni, oliva",пікантний,"помідор, сир, гострий кулен, гостра пепероні, оливки",picant,"roșii, brânză, kulen picant, pepperoni picant, măsline",
Jelovnik,PIZZA,romana,"rajčica, sir, slana srdela, kapari, maslina",,"13,00","13,00","1,4,7,",DA,DA,,romana,"tomato, cheese, salted sardines, capers, olives",Romana,"Tomaten, Käse, gesalzene Sardinen, Kapern, Oliven",Margherita,"pomodoro, formaggio, sardine salate, capperi, olive",romana,romana,romana,"tomate, queso, sardinas saladas, alcaparras, aceitunas",romana,"tomate, queijo, sardinhas salgadas, alcaparras, azeitonas",romana,"tomaat, kaas, gezouten sardines, kappertjes, olijven",Rzymianka,"pomidor, ser, solone sardynki, kapary, oliwki",романа,"помидоры, сыр, соленые сардины, каперсы, оливки",római,"paradicsom, sajt, sózott szardínia, kapribogyó, olajbogyó",Romana,"rajče, sýr, solené sardinky, kapary, olivy",rímsky,"paradajka, syr, solené sardinky, kapary, olivy",Romana,"paradižnik, sir, soljene sardine, kapre, olive",романа,"помідори, сир, солоні сардини, каперси, оливки",romană,"roșii, brânză, sardine sărate, capere, măsline",
Jelovnik,PIZZA,"radicchio, panceta e salamino","rajčica, sir, radić,panceta,kulen, maslina",,"13,50","13,50","1,7,",DA,DA,,"radicchio, panceta e salamino","tomato, cheese, radicchio, pancetta, kulen, olives","Radicchio, Panceta e Salamino","Tomaten, Käse, Radicchio, Pancetta, Kulen, Oliven","radicchio, pancetta e salamino","pomodoro, formaggio, radicchio, pancetta, kulen, olive","radicchio, panceta e salamino","radicchio, panceta e salamino","radicchio, panceta e salamino","tomate, queso, achicoria, panceta, kulen, aceitunas","radicchio, panceta e salamino","tomate, queijo, radicchio, pancetta, kulen, azeitonas","radicchio, pancetta e salamino","tomaat, kaas, radicchio, pancetta, kulen, olijven","radicchio, panceta e salamino","pomidor, ser, radicchio, pancetta, kulen, oliwki","radicchio, panceta e salamino","помидоры, сыр, радиккио, панчетта, кулен, оливки","radicchio, panceta és szalámi","paradicsom, sajt, radicchio, pancetta, kulen, olajbogyó","čekanka, pancetta a salám","rajčata, sýr, radicchio, pancetta, kulen, olivy","čakanka, pancetta a saláma","paradajka, syr, radicchio, pancetta, kulen, olivy","radič, panceta in salama","paradižnik, sir, radič, panceta, kulen, olive","радіккіо, панчета та саляміно","помідор, сир, радиккіо, панчетта, кулен, оливки","radicchio, panceta și salam","roșii, brânză, radicchio, pancetta, kulen, măsline",
Jelovnik,PIZZA,panna e panceta,"rajčica, sir, vrhnje ua kuhanje, panceta",,"13,00","13,00","1,7,",DA,DA,,panna e panceta,"tomato, cheese, cooking cream, pancetta",panna e panceta,"Tomaten, Käse, Kochsahne, Pancetta",panna e pancetta,"pomodoro, formaggio, panna da cucina, pancetta",panna e panceta,panna e panceta,panna e panceta,"tomate, queso, nata para cocinar, panceta",panna e panceta,"tomate, queijo, creme de leite, pancetta",panna e panceta,"tomaat, kaas, kookroom, pancetta",panna e panceta,"pomidor, ser, śmietana do gotowania, pancetta",panna e panceta,"помидор, сыр, сливки для приготовления пищи, панчетта",panna és panceta,"paradicsom, sajt, főzőtejszín, pancetta",panna a pancetta,"rajče, sýr, smetana na vaření, pancetta",panna a pancetta,"paradajka, syr, smotana na varenie, pancetta",panna in panceta,"paradižnik, sir, smetana za kuhanje, panceta",панна та панчета,"помідор, сир, вершки для приготування, панчета",panna și panceta,"roșii, brânză, smântână de gătit, pancetta",
Jelovnik,PIZZA,prosciutto e funghi - mješana,"rajčica, sir, šunka, gljive",,"13,50","13,50","1,7",DA,DA,,prosciutto e funghi,"tomato, cheese, ham, mushrooms",Prosciutto e funghi,"Tomaten, Käse, Schinken, Champignons",prosciutto e funghi,"pomodoro, formaggio, prosciutto, funghi",prosciutto et champignons,prosciutto et champignons,prosciutto y champiñones,"tomate, queso, jamón, champiñones",presunto e cogumelos,"tomate, queijo, presunto, cogumelos",prosciutto e funghi,"tomaat, kaas, ham, champignons",szynka i grzyby,"pomidor, ser, szynka, pieczarki",прошутто э фунги,"помидор, сыр, ветчина, грибы",sonka és gomba,"paradicsom, sajt, sonka, gomba",prosciutto a houby,"rajče, sýr, šunka, žampiony",prosciutto a huby,"paradajka, syr, šunka, šampiňóny",pršut in gobe,"paradižnik, sir, šunka, gobe",прошуто та гриби,"помідори, сир, шинка, гриби",prosciutto și ciuperci,"roșii, brânză, șuncă, ciuperci",
Jelovnik,PIZZA,gorgonzola e panceta,"rajčica, sir, gorgonzola, panceta",,"13,50","13,50","1,7",DA,DA,,gorgonzola e panceta,"tomato, cheese, gorgonzola, pancetta",Gorgonzola und Panceta,"Tomate, Käse, Gorgonzola, Pancetta",gorgonzola e pancetta,"pomodoro, formaggio, gorgonzola, pancetta",gorgonzola et panceta,gorgonzola et panceta,gorgonzola y panceta,"tomate, queso, gorgonzola, panceta",gorgonzola e panceta,"tomate, queijo, gorgonzola, pancetta",gorgonzola en panceta,"tomaat, kaas, gorgonzola, pancetta",gorgonzola i panceta,"pomidor, ser, gorgonzola, pancetta",горгонзола э панчета,"помидоры, сыр, горгонзола, панчетта",gorgonzola és panceta,"paradicsom, sajt, gorgonzola, pancetta",gorgonzola a pancetta,"rajče, sýr, gorgonzola, pancetta",gorgonzola a panceta,"paradajka, syr, gorgonzola, pancetta",gorgonzola in panceta,"paradižnik, sir, gorgonzola, panceta",горгонзола та панчета,"помідор, сир, горгонзола, панчетта",gorgonzola și pancetta,"roșii, brânză, gorgonzola, pancetta",
Jelovnik,PIZZA,alla pizzaiolo,"rajčica, sir, paprika, luk, hamburger salama, rikola, chery rajčice, krema od parmezana",,"16,00","16,00","1,3,7,",DA,DA,,alla pizzaiolo,"tomato, cheese, pepper, onion, hamburger salami, arugula, cherry tomatoes, parmesan cream",alla pizzaiolo,"Tomaten, Käse, Paprika, Zwiebeln, Hamburgersalami, Rucola, Kirschtomaten, Parmesancreme",alla pizzaiolo,"pomodoro, formaggio, pepe, cipolla, salame per hamburger, rucola, pomodorini, crema al parmigiano",alla pizzaiolo,alla pizzaiolo,alla pizzaiolo,"tomate, queso, pimiento, cebolla, salami de hamburguesa, rúcula, tomates cherry, crema de parmesano",alla pizzaiolo,"tomate, queijo, pimentão, cebola, salame de hambúrguer, rúcula, tomates-cereja, creme de parmesão",alla pizzaiolo,"tomaat, kaas, paprika, ui, hamburgersalami, rucola, cherrytomaten, Parmezaanse room",alla pizzaiolo,"pomidor, ser, papryka, cebula, salami hamburgerowe, rukola, pomidorki koktajlowe, krem ​​parmezanowy",алла пиццайоло,"помидор, сыр, перец, лук, салями для гамбургеров, руккола, помидоры черри, пармезановый крем",alla pizzaiolo,"paradicsom, sajt, paprika, hagyma, hamburgerszalámi, rukkola, koktélparadicsom, parmezánkrém",alla pizzaiolo,"rajče, sýr, paprika, cibule, hamburgerový salám, rukola, cherry rajčátka, parmazánový krém",pizzaiolo,"paradajka, syr, paprika, cibuľa, hamburgerová saláma, rukola, cherry paradajky, parmezánový krém",alla pizzaiolo,"paradižnik, sir, paprika, čebula, salama za hamburger, rukola, češnjevi paradižniki, parmezanova krema",піцайоло,"помідор, сир, перець, цибуля, салямі для гамбургерів, рукола, помідори чері, пармезановий крем",la pizzaiolo,"roșii, brânză, ardei, ceapă, salam de hamburger, rucola, roșii cherry, cremă de parmezan",
Jelovnik,PIZZA,apoksiomen,"sir, šparoge, panceta, rikola, jaje",,"16,00","16,00","1,3,7,",DA,DA,,apokisomen,"cheese, asparagus, pancetta, arugula, egg",apokisomen,"Käse, Spargel, Pancetta, Rucola, Ei",apokisomen,"formaggio, asparagi, pancetta, rucola, uovo",apokisome,apokisome,apokisomen,"queso, espárragos, panceta, rúcula, huevo",apokisomen,"queijo, aspargos, pancetta, rúcula, ovo",apokisomen,"kaas, asperges, pancetta, rucola, ei",apokisomen,"ser, szparagi, pancetta, rukola, jajko",апоксимен,"сыр, спаржа, панчетта, руккола, яйцо",apokisomen,"sajt, spárga, pancetta, rukkola, tojás",apokisomen,"sýr, chřest, pancetta, rukola, vejce",apokisomen,"syr, špargľa, pancetta, rukola, vajce",apokisomen,"sir, beluši, panceta, rukola, jajce",апокізомен,"сир, спаржа, панчета, рукола, яйце",apokizomen,"brânză, sparanghel, pancetta, rucola, ou",
Jelovnik,PIZZA,jack sparrow,"rajčica, sir, carpaccio od hobotnice, cvijet kapara, masline",,"16,00","16,00","1,7,14,",DA,DA,,jack sparrow,"tomato, cheese, octopus carpaccio, caper flower, olives",Jack Sperling,"Tomaten, Käse, Oktopus-Carpaccio, Kapernblüte, Oliven",Passero jack,"pomodoro, formaggio, carpaccio di polpo, fiore di cappero, olive",Moineau,Moineau,Jack Sparrow,"tomate, queso, carpaccio de pulpo, flor de alcaparra, aceitunas",pardal-de-jack,"tomate, queijo, carpaccio de polvo, flor de alcaparra, azeitonas",Jack Sparrow,"tomaat, kaas, octopuscarpaccio, kappertjesbloem, olijven",Jack Sparrow,"pomidor, ser, carpaccio z ośmiornicy, kwiat kaparów, oliwki",Джек Воробей,"помидоры, сыр, карпаччо из осьминога, цветки каперсов, оливки",Jack Sparrow,"paradicsom, sajt, polip carpaccio, kapribogyó virág, olajbogyó",vrabec jack,"rajče, sýr, carpaccio z chobotnice, květ kapary, olivy",vrabec jack,"paradajka, syr, carpaccio z chobotnice, kvet kapary, olivy",vrabec,"paradižnik, sir, karpačo iz hobotnice, cvet kapre, olive",Джек Горобець,"помідор, сир, карпачо з восьминога, квітка каперсів, оливки",vrabie jack,"roșii, brânză, carpaccio de caracatiță, floare de capere, măsline",
Jelovnik,PIZZA,pistacchio e mortadela,"krema od pistacija, sir, grana padano, pistacija, mortadela",,"17,00","17,00","1,7,8,3",DA,DA,,pistacchio e mortadela,"pistachio cream, cheese, grana padano, pistachio, mortadella",pistacchio e mortadela,"Pistaziencreme, Käse, Grana Padano, Pistazien, Mortadella",pistacchio e mortadella,"crema di pistacchio, formaggio, grana padano, pistacchio, mortadella",pistaches et mortadelle,pistaches et mortadelle,pistacho y mortadela,"crema de pistacho, queso, grana padano, pistacho, mortadela",pistache e mortadela,"creme de pistache, queijo, grana padano, pistache, mortadela",pistacchio e mortadela,"pistacheroom, kaas, grana padano, pistache, mortadella",pistacje i mortadela,"krem pistacjowy, ser, grana padano, pistacja, mortadela",фисташка и мортадела,"фисташковый крем, сыр, грана падано, фисташки, мортаделла",pisztácia és mortadela,"pisztácia krém, sajt, grana padano, pisztácia, mortadella",pistácie a mortadela,"pistáciový krém, sýr, grana padano, pistácie, mortadella",pistácie a mortadela,"pistáciový krém, syr, grana padano, pistácie, mortadella",pistacija in mortadela,"pistacijeva krema, sir, grana padano, pistacija, mortadela",фісташки та мортадела,"фісташковий крем, сир, грана падано, фісташка, мортаделла",fistic și mortadelă,"crema de fistic, branza, grana padano, fistic, mortadela",
Jelovnik,PIZZA,prilozi,"umak od rajčice, luk, kukuruz, šparoge, masline, kapari,rikola, bosiljak,gauda, mozzarella, vrhnje, jaje, šunka",,"2,50","2,50",,DA,DA,,extras,"tomato sauce, onion, corn, asparagus, olives, capers, arugula, basil, gouda, mozzarella, cream, egg, ham",Extras,"Tomatensoße, Zwiebeln, Mais, Spargel, Oliven, Kapern, Rucola, Basilikum, Gouda, Mozzarella, Sahne, Ei, Schinken",extra,"salsa di pomodoro, cipolla, mais, asparagi, olive, capperi, rucola, basilico, gouda, mozzarella, panna, uovo, prosciutto",extras,extras,extras,"salsa de tomate, cebolla, maíz, espárragos, aceitunas, alcaparras, rúcula, albahaca, gouda, mozzarella, crema, huevo, jamón",extras,"molho de tomate, cebola, milho, aspargos, azeitonas, alcaparras, rúcula, manjericão, queijo gouda, mussarela, creme de leite, ovo, presunto",extra's,"tomatensaus, ui, maïs, asperges, olijven, kappertjes, rucola, basilicum, gouda, mozzarella, room, ei, ham",dodatki,"sos pomidorowy, cebula, kukurydza, szparagi, oliwki, kapary, rukola, bazylia, gouda, mozzarella, śmietana, jajko, szynka",дополнительные услуги,"томатный соус, лук, кукуруза, спаржа, оливки, каперсы, руккола, базилик, сыр гауда, моцарелла, сливки, яйцо, ветчина",extrák,"paradicsomszósz, hagyma, kukorica, spárga, olajbogyó, kapribogyó, rukkola, bazsalikom, gouda sajt, mozzarella, tejszín, tojás, sonka",doplňky,"rajčatová omáčka, cibule, kukuřice, chřest, olivy, kapary, rukola, bazalka, gouda, mozzarella, smetana, vejce, šunka",bonusy,"paradajková omáčka, cibuľa, kukurica, špargľa, olivy, kapary, rukola, bazalka, gouda, mozzarella, smotana, vajce, šunka",dodatki,"paradižnikova omaka, čebula, koruza, beluši, olive, kapre, rukola, bazilika, gauda, ​​mocarela, smetana, jajce, šunka",додаткові послуги,"томатний соус, цибуля, кукурудза, спаржа, оливки, каперси, рукола, базилік, гауда, моцарела, вершки, яйце, шинка",extrasuri,"sos de roșii, ceapă, porumb, sparanghel, măsline, capere, rucola, busuioc, gouda, mozzarella, smântână, ou, șuncă",
Jelovnik,PIZZA,prilozi,"pršut, panceta, kulen, gorgonzola, grana padano, krema od parmezana, krema od pistacija, pistacija, tartufata,slani inćuni, tuna,",,"3,00","3,00",,DA,DA,,extras,"prosciutto, pancetta, kulen, gorgonzola, Grana Padano, Parmesan cream, pistachio cream, pistachios, truffles, salted anchovies, tuna,",Extras,"Prosciutto, Pancetta, Kulen, Gorgonzola, Grana Padano, Parmesancreme, Pistaziencreme, Pistazien, Trüffel, gesalzene Sardellen, Thunfisch,",extra,"prosciutto, pancetta, kulen, gorgonzola, Grana Padano, crema di parmigiano, crema di pistacchi, pistacchi, tartufo, acciughe salate, tonno,",extras,extras,extras,"prosciutto, panceta, kulen, gorgonzola, grana padano, crema de parmesano, crema de pistacho, pistachos, trufas, anchoas saladas, atún,",extras,"presunto, pancetta, kulen, gorgonzola, Grana Padano, creme de parmesão, creme de pistache, pistache, trufas, anchovas salgadas, atum,",extra's,"prosciutto, pancetta, kulen, gorgonzola, Grana Padano, Parmezaanse room, pistacheroom, pistachenoten, truffels, gezouten ansjovis, tonijn,",dodatki,"prosciutto, pancetta, kulen, gorgonzola, Grana Padano, krem ​​parmezanowy, krem ​​pistacjowy, pistacje, trufle, solone anchois, tuńczyk,",дополнительные услуги,"прошутто, панчетта, кулен, горгонзола, Грана Падано, крем Пармезан, фисташковый крем, фисташки, трюфели, соленые анчоусы, тунец,",extrák,"prosciutto, pancetta, kulen, gorgonzola, Grana Padano, parmezánkrém, pisztácia krém, pisztácia, szarvasgomba, sózott szardella, tonhal,",doplňky,"prosciutto, pancetta, kulen, gorgonzola, Grana Padano, parmazánový krém, pistáciový krém, pistácie, lanýže, solené ančovičky, tuňák,",bonusy,"prosciutto, pancetta, kulen, gorgonzola, Grana Padano, parmezánový krém, pistáciový krém, pistácie, hľuzovky, solené ančovičky, tuniak,",dodatki,"pršut, panceta, kulen, gorgonzola, grana padano, parmezanova krema, pistacijeva krema, pistacije, tartufi, slani inčuni, tuna,",додаткові послуги,"прошутто, панчетта, кулен, горгонзола, грана падано, пармезановий крем, фісташковий крем, фісташки, трюфелі, солоні анчоуси, тунець,",extrasuri,"prosciutto, pancetta, kulen, gorgonzola, Grana Padano, crema de parmezan, crema de fistic, fistic, trufe, hamsii sarate, ton,",
